BLACKLICK VALLEY SD,275555.52,2013833.11,8669129.47,10890121.73,11160987.91,2016
BLAIRSVILLE-SALTSBURG SD,1666732.97,13014422.69,17817648.06,32322059.55,32498803.72,2016
BLOOMSBURG AREA SD,525385.66,14100398.46,9828182.99,24093346.61,24453967.11,2016
BLUE MOUNTAIN SD,639012.62,23747030.03,16417801.29,40651116.24,40803843.94,2016
BLUE RIDGE SD,323042.84,6750652,10754630.75,16554174.67,17828325.59,2016
BOYERTOWN AREA SD,1121302.7,72475964.26,34400965.73,111580708.9,109294355.7,2016
BOYS' LATIN OF PHILADELPHIA CS,1204367.68,9717209.23,193558.09,10839800,11115135,2016
BRADFORD AREA SD,2193460.76,12724698.49,24109072.6,38133937.69,39182707.39,2016
BRANDYWINE HEIGHTS AREA SD,319363.43,20823167.26,9492733.76,31090493.57,30651184.45,2016
BRENTWOOD BOROUGH SD,309960.62,12470700.99,9379216.52,21587260.22,22159878.13,2016
BRISTOL BOROUGH SD,859295.86,12693940.68,10911506.12,23669961.95,24464742.66,2016
BRISTOL TOWNSHIP SD,2582697.48,89214859.71,43191829.65,131199397.9,135347554.2,2016
BROCKWAY AREA SD,373563.01,3845777.76,11320030.39,15841082.09,15546190.44,2016
BROOKVILLE AREA SD,1068527.08,8673531.54,17071800.75,25061549.47,26816059.37,2016
BROWNSVILLE AREA SD,1212745.95,6816893.67,19276374.7,36803095.39,37324818.88,2016
BUCKS COUNTY MONTESSORI CS,25984.61,2658259.29,3513.6,2715848.42,2687757.5,2016
BUCKS COUNTY TECHNICAL HIGH SCHOOL,670558,19948377,3793870,25138954,24698478,2016
BURGETTSTOWN AREA SD,302633.31,8189032.4,10768155.57,20529181.5,19259821.28,2016
BURRELL SD,297156.32,16367331.75,11910483,28754719.32,28574971.07,2016
BUTLER AREA SD,2156165.44,49831846.92,47536317.79,103176516.1,99756980.15,2016
BUTLER COUNTY AREA VOCATIONAL TECHNICAL SCHOOL,246829,3497554,1110571,4854954,4854954,2016
CALIFORNIA AREA SD,222167.18,4852562.33,9624100.47,13458575.48,14698829.98,2016
CAMBRIA HEIGHTS SD,393167.3,6032121.37,15236405.9,19974384.32,21661694.57,2016
CAMERON COUNTY SD,0,3895571.11,8361573,12450281.85,12257477.44,2016
CAMP HILL SD,132937.02,17615516.91,4072436.21,21359560.2,21820890.14,2016
