21ST CENTURY CYBER CS,0,19116854,51247.88,24180401,22418102,2018
A W BEATTIE CAREER CENTER,267514,8350904,1433097,9557392,10101701,2018
ACT ACADEMY CYBER CS,0,0,0,0,0,2018
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,847245,8047841,5440,8645999,8900526,2018
ABINGTON HEIGHTS SD,364356.9,33198347,14842485,48549008,48405189,2018
ABINGTON SD,1789751,119000000,34444611,154000000,155000000,2018
ACHIEVEMENT HOUSE CS,490417.8,10120433,57690.62,8351060,10668541,2018
AD PRIMA CS,679125,8785473,105831,8188673,9570429,2018
ADMIRAL PEARY AVTS,124176,2581636,930522.7,3609653,3636334,2018
AGORA CYBER CS,3478445,92576451,297616,94938716,96452512,2018
ALBERT GALLATIN AREA SD,1928688,14220386,37388136,54062806,53627802,2018
ALIQUIPPA SD,1304690,7102898,14739131,49507011,49311719,2018
ALLEGHENY VALLEY SD,303432,17341785,6270011,23915228,23915228,2018
ALLEGHENY-CLARION VALLEY SD,471925.3,5275420,9681710,17522201,15455856,2018
ALLENTOWN CITY SD,20657119,108000000,192000000,330000000,331000000,2018
ALLIANCE FOR PROGRESS CS,705212,6204680,117707,6500257,7027599,2018
ALTOONA AREA SD,5682737,31682212,66806641,117000000,104000000,2018
AMBRIDGE AREA SD,953402.5,26897478,20601280,50811476,48953697,2018
ANNVILLE-CLEONA SD,356231.5,15596055,8800613,24725699,24752900,2018
ANTIETAM SD,402966.5,11264805,7358582,19810610,19249897,2018
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,1471210,11265037,34344,11684753,12770591,2018
APOLLO-RIDGE SD,556740.2,8577138,14699267,24995387,23833146,2018
ARMSTRONG SD,4579090,38508349,56334485,99376467,99426080,2018
ARTS ACADEMY CS,165775,5121557,34499.9,5121012,5321832,2018
ARTS ACADEMY ELEMENTARY CHARTER SCHOOL,317598,5423846,58343.63,5595536,5799788,2018
ATHENS AREA SD,740537.5,17521578,20989355,39386766,39251470,2018
AUSTIN AREA SD,78606.81,1891315,2352413,4262693,4322335,2018
AVELLA AREA SD,156256,3486418,6781001,10706861,10606666,2018
AVON GROVE CS,507879,26888843,122744,26045293,27603688,2018
AVON GROVE SD,993809.4,58463976,31041573,93653131,90516093,2018
AVONWORTH SD,121441,25380440,7213878,32603585,32715759,2018
BADEN ACADEMY CS,416609.6,8709047,64443.29,8909991,9681446,2018
BALD EAGLE AREA SD,329105.7,16854883,15656554,31222243,32841544,2018
BALDWIN-WHITEHALL SD,1948211,45003829,23899783,67321633,70851823,2018
BANGOR AREA SD,646279.6,34900303,21306247,56995126,56852829,2018
BEAR CREEK COMMUNITY CS,407078.1,6649693,90841.28,8893288,7147612,2018
BEAVER AREA SD,607658.3,21279596,11393305,33074258,33292141,2018
BEAVER COUNTY CTC,281613,4337554,1302743,5909818,5921910,2018
BEDFORD AREA SD,1095471,14208776,14201057,29357668,29542531,2018
BEDFORD COUNTY TECHNICAL CENTER,72718.29,1267541,557246.2,1843862,1897505,2018
BELLE VERNON AREA SD,827830.2,20286773,17763117,38544737,38961685,2018
BELLEFONTE AREA SD,719333.9,33049637,19848285,55807427,53617256,2018
BELLWOOD-ANTIS SD,190593.5,6988928,11042012,18773217,18221533,2018
BELMONT CHARTER SCHOOL,998017.4,12992243,154326.3,13965577,14144587,2018
BENSALEM TOWNSHIP SD,3235140,113000000,35086102,156000000,154000000,2018
BENTON AREA SD,268852.5,6525045,6007602,13111727,12801499,2018
BENTWORTH SD,376979.1,7749738,10320706,18824056,18447423,2018
BERKS CTC-EAST CAMPUS,506152,14225150,3036291,18756874,18772054,2018
BERKS CTC-WEST CAMPUS,506152,14225150,3036291,18756874,18772054,2018
BERLIN BROTHERSVALLEY SD,264348.5,3787351,8016715,11763724,12068414,2018
BERMUDIAN SPRINGS SD,385797.6,17153199,13093356,36337277,36134483,2018
BERWICK AREA SD,1372765,19545236,25068883,66196482,63605311,2018
BETHEL PARK SD,336861.9,63965370,23689421,84578708,87997668,2018
BETHLEHEM AVTS,301535,10214680,1983212,12499427,12499427,2018
BETHLEHEM AREA SD,8856735,203000000,73505761,279000000,285000000,2018
BETHLEHEM-CENTER SD,299685,5316962,14159112,21731821,19902432,2018
BIG BEAVER FALLS AREA SD,1475585,8775400,19505447,29739252,29788452,2018
BIG SPRING SD,608416,32106237,18887353,50409045,51602006,2018
BLACKHAWK SD,550717.6,20440207,17791752,38334362,38782677,2018
BLACKLICK VALLEY SD,447462.1,2251830,8274881,17789404,18343289,2018
BLAIRSVILLE-SALTSBURG SD,961472.8,13805329,17126637,33633572,31893439,2018
BLOOMSBURG AREA SD,711511.5,15290673,10560836,27224007,26580677,2018
BLUE MOUNTAIN SD,654019.2,25252883,17418691,43882318,43390902,2018
BLUE RIDGE SD,415627.8,6990058,11072402,18936695,18480588,2018
BOYERTOWN AREA SD,1203971,80402094,36644457,117000000,118000000,2018
BOYS LATIN OF PHILADELPHIA CS,1337299,11236551,193178.6,12587844,13365193,2018
BRADFORD AREA SD,1576825,12975508,25664211,40360595,40351563,2018
BRANDYWINE HEIGHTS AREA SD,262447,21907120,9561502,31381286,31731701,2018
BRENTWOOD BOROUGH SD,321306.6,13034081,9814508,23646733,23169895,2018
BRISTOL BOROUGH SD,1430003,12143982,11605330,25880084,25179315,2018
BRISTOL TOWNSHIP SD,2474527,94495218,46308838,138000000,143000000,2018
BROCKWAY AREA SD,378721.7,4334119,10774927,15715763,15491665,2018
BROOKVILLE AREA SD,656066.1,9283299,15496756,24586730,25436122,2018
BROWNSVILLE AREA SD,1118306,8014472,19410431,40875786,41047806,2018
BUCKS COUNTY MONTESSORI CS,21541,2836205,2192,2677703,2859938,2018
BUCKS COUNTY TECHNICAL HIGH SCHOOL,986472,21658276,4164827,26762241,26809575,2018
BURGETTSTOWN AREA SD,265400.7,9105051,11291652,20984112,20687642,2018
BURRELL SD,267057.7,17512662,12090954,30121756,29870674,2018
BUTLER AREA SD,2781013,52783116,47342567,102000000,103000000,2018
BUTLER COUNTY AVTS,239706,3456295,1262349,4944168,4958350,2018
CTC OF LACKAWANNA COUNTY,976570,4817842,1642598,7437010,7437010,2018
CALIFORNIA AREA SD,241155.9,5407818,9999506,16586591,15648480,2018
CAMBRIA HEIGHTS SD,362208.7,6432346,15290551,21043258,22102820,2018
CAMERON COUNTY SD,4775.22,4196916,8575786,12742600,12785052,2018
CAMP HILL SD,199964.6,18825691,4971136,23781780,24005092,2018
CANON-MCMILLAN SD,610840.9,62568696,24313549,85105547,87529444,2018
CANTON AREA SD,594944.6,4586288,10927598,15622937,16108831,2018
CAPITAL AREA SCHOOL FOR THE ARTS CHARTER SCHOOL,0,2908763,30223,2760068,2938986,2018
CARBON CAREER & TECHNICAL INSTITUTE,163548,6628675,1223302,9749471,8015525,2018
CARBONDALE AREA SD,1682561,8490424,15151031,26573151,26518588,2018
CAREER INSTITUTE OF TECHNOLOGY,226558,8511274,1242255,9435201,9980087,2018
CARLISLE AREA SD,1972067,58098120,26750858,82928303,86821045,2018
CARLYNTON SD,1019441,18697095,9049308,28392486,28765844,2018
CARMICHAELS AREA SD,635141.4,5382643,11635846,18016196,17653630,2018
CATASAUQUA AREA SD,739211.4,21181521,9294076,29755207,31227240,2018
CENTENNIAL SD,1240460,88759553,31421859,121000000,121000000,2018
CENTER FOR STUDENT LRNG CS PENNSBURY,39757,3026937,5116,4355565,4819139,2018
CENTRAL BUCKS SD,1992289,264000000,70128862,356000000,336000000,2018
CENTRAL CAMBRIA SD,468312.4,11038819,12809631,26139015,24316762,2018
CENTRAL COLUMBIA SD,441734.2,18333675,12141972,31742868,30917381,2018
CENTRAL DAUPHIN SD,4078500,147000000,49398416,207000000,208000000,2018
CENTRAL FULTON SD,818256.5,6163339,9371149,16452241,16352744,2018
CENTRAL GREENE SD,582205.3,17492566,15324184,32857131,33398955,2018
CENTRAL MONTCO TECHNICAL HIGH SCHOOL,310539.4,7674076,1248314,9232931,9232929,2018
CENTRAL PA DIGITAL LRNG FOUNDATION CS,81823,2531642,11203,2293380,2624668,2018
CENTRAL PA INSTITUTE OF SCIENCE & TECHNOLOGY,228257,6272341,1672172,8035178,8172770,2018
CENTRAL VALLEY SD,633564.6,20045919,15839769,36411212,36519252,2018
CENTRAL WESTMORELAND CTC,319150,6708592,1796022,8971201,8823764,2018
CENTRAL YORK SD,880056,66726522,23142546,92833626,90749124,2018
CENTRE LEARNING COMMUNITY CS,20146,1571652,1699,1631154,1594222,2018
CHAMBERSBURG AREA SD,4124573,90379657,46491314,163000000,166000000,2018
CHARLEROI SD,771725,10289383,14594535,24162163,25655643,2018
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,885473,7610223,165611,8600791,8682160,2018
CHARTIERS VALLEY SD,868604.7,47586357,15753314,65540382,65540382,2018
CHARTIERS-HOUSTON SD,202082,11435848,8021432,19489711,19659362,2018
CHELTENHAM SD,908767,91745009,25149097,123000000,118000000,2018
CHESTER CS FOR THE ARTS,925646,9060015,137850.1,10168538,10258667,2018
CHESTER CO FAMILY ACADEMY CS,117853,1462489,12793,1655033,1593135,2018
CHESTER CO TECHNICAL COLLEGE HS-BRANDYWINE,1390158,27621219,4041081,33335354,33150911,2018
CHESTER CO TECHNICAL COLLEGE HS-PENNOCKS,1390158,27621219,4041081,33335354,33150911,2018
CHESTER CO TECHNICAL COLLEGE HS-PICKERING,1390158,27621219,4041081,33335354,33150911,2018
CHESTER COMMUNITY CS,6309158,61767438,1127482,71687667,71704079,2018
CHESTER-UPLAND SD,5574121,28854933,101000000,134000000,135000000,2018
CHESTNUT RIDGE SD,443997.9,6875285,14292358,21399781,21611641,2018
CHICHESTER SD,1088784,50185186,25530268,75965292,76825790,2018
CHRISTOPHER COLUMBUS CS,1028287,10927004,78770,10356895,12034061,2018
CIRCLE OF SEASONS CHARTER SCHOOL,84627,6093779,23149.89,8146997,8336555,2018
CITY CHS,344259,11271078,93352,11241825,11708689,2018
CLAIRTON CITY SD,997932.3,3825242,11733856,17240879,16557030,2018
CLARION AREA SD,417506.9,8744086,7035217,14231400,16196810,2018
CLARION COUNTY CAREER CENTER,454310.8,1895778,778528,3191155,3128617,2018
CLARION-LIMESTONE AREA SD,376761.5,5472400,9056022,15020049,14905184,2018
CLAYSBURG-KIMMEL SD,478070.9,3517973,8648468,13093174,12644513,2018
CLEARFIELD AREA SD,1333549,16643268,21975550,40107555,40085726,2018
CLEARFIELD COUNTY CTC,259725,4543664,1132458,5900053,6036194,2018
COATESVILLE AREA SD,3300792,116000000,52811373,179000000,172000000,2018
COCALICO SD,760783.7,40678030,17145476,59141154,59031765,2018
COLLEGIUM CS,450821,48881050,58950,48940158,49390821,2018
COLONIAL SD,867677,106000000,22499032,127000000,129000000,2018
COLUMBIA BOROUGH SD,992373.2,12260160,13087591,26342724,26342724,2018
COLUMBIA-MONTOUR AVTS,162647,7253333,1399708,9051199,8835341,2018
COMMODORE PERRY SD,296786,2549637,6160795,8556786,9007219,2018
COMMONWEALTH CHARTER ACADEMY CS,4190106,139000000,418157.6,142000000,143000000,2018
COMMUNITY ACADEMY OF PHILADELPHIA CS,1370448,18388122,308188,18084414,20256232,2018
CONEMAUGH TOWNSHIP AREA SD,251203,4308293,10112598,15216056,14805116,2018
CONEMAUGH VALLEY SD,333270,3237683,9269306,12353644,12840259,2018
CONESTOGA VALLEY SD,2011092,54045675,15203176,71129082,71282910,2018
CONEWAGO VALLEY SD,1280768,38262171,20198896,59342671,59741835,2018
CONNEAUT SD,1308058,17025693,20854811,40528265,39247082,2018
CONNELLSVILLE AREA CAREER & TECHNICAL CENTER,93626,2765850,1124353,3983829,3983829,2018
CONNELLSVILLE AREA SD,2988110,20388569,50923785,74519903,74321982,2018
CONRAD WEISER AREA SD,1996122,33203818,15808564,51593004,51008504,2018
CORNELL SD,775822,9557068,4233002,14938240,14565892,2018
CORNWALL-LEBANON SD,1221016,53464213,24014578,80713467,78750147,2018
CORRY AREA SD,1707882,9287175,22274761,32453304,33270189,2018
COUDERSPORT AREA SD,256128,5784107,7115378,13102321,13155614,2018
COUNCIL ROCK SD,1629874,184000000,53193984,238000000,239000000,2018
CRANBERRY AREA SD,347613.1,7708226,11522436,21180594,19578275,2018
CRAWFORD CENTRAL SD,1546724,27778407,31430864,61993944,60755995,2018
CRAWFORD COUNTY CTC,533517,4543620,1297060,6454855,6374198,2018
CRESTWOOD SD,596860.3,23264487,15116895,41070911,38978242,2018
CRISPUS ATTUCKS CS,663189,1393683,11721,2281240,2068593,2018
CUMBERLAND PERRY AVTS,432055,6430413,1469440,8652049,8352049,2018
CUMBERLAND VALLEY SD,1135884,106000000,31553481,138000000,139000000,2018
CURWENSVILLE AREA SD,399038.8,4741513,12173028,17523908,17376355,2018
DALLAS SD,881064.3,26161553,12718260,40328244,39760877,2018
DALLASTOWN AREA SD,962030.5,79291175,28657998,113000000,112000000,2018
DANIEL BOONE AREA SD,634263.9,38189380,19580659,59160546,58404414,2018
DANVILLE AREA SD,1680559,23694796,14925253,47098102,47098102,2018
DAUPHIN COUNTY TECHNICAL SCHOOL,541528.7,17258215,3008410,21196224,20808154,2018
